"X","S1_TPM","M1_TPM","F1_TPM","S2_TPM","M2_TPM","F2_TPM","gene_name","slope_1","slope_2"
"158","ENSMUSG00000000916",17.1225765,17.4301155,20.225473,16.935702,19.0087035,22.01713848,"NSUN5",1.55144825,2.54071824
"299","ENSMUSG00000001674",45.10637,46.9670055,48.1577705,47.5646075,50.0984915,53.8224115,"DDX18",1.52570024999999,3.12890199999999
"673","ENSMUSG00000004100",39.0978,44.95099,54.727685,44.91557,59.40211,60.67783,"PPAN",7.81494249999999,7.88112999999999
"906","ENSMUSG00000005846",96.70186,103.05502,109.200765,103.76849,104.071005,125.727995,"RSL1D1",6.2494525,10.9797525
"981","ENSMUSG00000006333",1125.0085425,1200.480077,1353.002165,1075.216938,1304.310996,1461.579067,"RPS9",113.99681125,193.1810645
"1186","ENSMUSG00000008682",416.38952,490.6029025,588.980858,440.865835,524.891998007178,613.752494,"RPL10",86.295669,86.4433295
"1412","ENSMUSG00000012848",1232.756575,1349.688365,1532.998846,1198.492365,1450.729027,1560.6389245,"RPS5",150.1211355,181.07327975
"1446","ENSMUSG00000013663",76.345305,90.779225,93.32417,81.236605,86.414625,108.950265,"PTEN",8.48943249999997,13.85683
"1563","ENSMUSG00000015126",22.47975,23.49665,26.04025,23.8314,25.6973,27.96495,"TSR3",1.78025,2.066775
"1570","ENSMUSG00000015176",30.90795,34.48735,45.33765,33.06775,36.03425,48.82405,"NOLC1",7.21484999999999,7.87815
"1697","ENSMUSG00000016181",13.49092945,14.1442125,14.464855,13.425627585,18.066775,19.633699,"UTP25",0.486962774999998,3.1040357075
"1880","ENSMUSG00000018040",39.177355,44.1401915,50.91185,33.96275,49.142058,53.17615,"RRP7A",5.8672475,9.60669999999999
"1984","ENSMUSG00000018697",21.6861759,26.169429,26.7630666,24.4159095,26.248279,29.791348,"AATF",2.53844535,2.68771925
"2157","ENSMUSG00000019814",43.446,48.91395,53.45975,47.4017,51.9909,57.13525,"LTV1",5.006875,4.86677499999999
"2295","ENSMUSG00000020075",58.43065,66.8476,81.99585,64.77835,73.66365,96.54365,"DDX21",11.7826,15.88265
"2513","ENSMUSG00000020430",28.57815245,34.569435,39.130015,31.040352,39.769913,45.6763445,"PES1",5.275931275,7.31799625
"2676","ENSMUSG00000020692",18.362095,23.5796965,24.000863,19.915145,20.3057675,24.55356,"NLE1",2.819384,2.3192075
"2688","ENSMUSG00000020706",33.287386,38.25457,44.3126515,35.36422,41.6189185,48.747778,"FTSJ3",5.51263275,6.69177899999999
"2947","ENSMUSG00000021149",38.96335,40.7863,42.9546,41.1214,43.8418,49.5153,"GTPBP4",1.99562499999999,4.19695
"3531","ENSMUSG00000022191",34.730037,34.9668565,36.24494305,32.869917,36.03835975,41.438973,"DROSHA",0.757453024999998,4.284528
"3596","ENSMUSG00000022300",50.9761,59.5693,67.46925,54.8712,63.9401,75.95945,"DCAF13",8.246575,10.544125
"3762","ENSMUSG00000022557",24.1434,27.6241,33.0442,25.995,31.43795,36.46555,"BOP1",4.45039999999999,5.235275
"4221","ENSMUSG00000023971",30.4042,31.645,37.92655,30.8579,33.10465,36.0315,"RRP36",3.761175,2.58679999999999
"4231","ENSMUSG00000023988",10.79285,11.2559,12.42455,11.86465,12.1272,14.57875,"BYSL",0.81585,1.35705
