ESC_slow1	ESC_slow2	ESC_slow3	ESC_slow4	ESC_m1	ESC_m2	ESC_fast1	ESC_fast2	ESC_fast3	ESC_fast4
ENSMUSG00000000001	3764	4021	2838	3608	4566	4718	4746	5422	3476	3384
ENSMUSG00000000003	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000028	1509	1761	1486.81939342659	1732.95416149419	1725.93101956589	2059	1798	2315	1686.94162263251	1644.87689195367
ENSMUSG00000000031	28	7	20	40	26	3	20	10	31.2460876955263	54.7519502507996
ENSMUSG00000000037	1541	1580	1333	1540	1242	1318	1038	1122	637	511
ENSMUSG00000000049	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056	709	639	693	687	729	563	696	646	664	657
ENSMUSG00000000058	13	9	9	13	10	9	11	13	5	3
ENSMUSG00000000078	820	1007	618.377781465148	673.452933710125	802	1089	785	1233	552.178479886625	460.853843356852
ENSMUSG00000000085	432.087801678408	518.183096649803	551.056339497448	538.089464358518	471.144157655505	479.098313966899	452.219005807914	560.779603487536	437.033253767862	463.05128738589
ENSMUSG00000000088	6343.8706195248	7792.32365942221	5919.85840698932	6694.72789496354	7390.22188311649	7846.35133917968	6573.36925590756	9383.76718366432	6041.34623903498	5898.24665763356
ENSMUSG00000000093	17	18	17	11	10	13	9	14	11	7
ENSMUSG00000000094	30	20	17	20	21	19.0411052568987	15	12	7	10
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	1165.96554774226	1741.07392386419	2422.4748324563	2297.98231683223	1283.87113657439	1963.83407065008	1212.97562939295	2514.20153768077	2040.02636733807	1798.75231608365
ENSMUSG00000000125	3	14	37	21	8	10	9	23	24	36
ENSMUSG00000000126	8	8	7	5	12	1	7	9	2	4
ENSMUSG00000000127	632	642	625	753	731	692	680	804	598	566
ENSMUSG00000000131	3995	4203	4889	5491	4554	4425	4270	4846	4956	5053
ENSMUSG00000000134	4929	4577	4946.68084048756	6039.90808835036	5762	5122	5577	5849.85458106967	4591	5071
ENSMUSG00000000142	551.783166856666	601	1264.9107970979	720	717	659.617929283432	626.855348124038	779.796301767941	1361.74441978413	751.703006781238
ENSMUSG00000000148	741	741	767	809	802	746	763	790	874	899
ENSMUSG00000000149	1092.69518714133	1201	1138.70394386184	1253.43909691701	1137.21091696535	1287.87168900655	1109.55359526742	1469.05643671854	1186.61240084702	1227.24403525846
ENSMUSG00000000154	81	31	77	88	70	14	71	23	72	63
ENSMUSG00000000157	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000000159	3	0	6	3	3	1	0	1	2	1
ENSMUSG00000000167	35.3112059587086	33.404124217224	18.0014416895338	25.0268524146676	30.0629060866447	25.3801879765385	37.6207297104013	51.0673159148824	25.0142837742317	30.0294512506954
ENSMUSG00000000168	2272	2338	2155	2354	2657	2585	2552	2994	2176	2194
ENSMUSG00000000171	3478	3929	3467	4074	4246	4121	3742	4907	3586	3635
ENSMUSG00000000182	8	2	6	9	3	8	3	5	4	8
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	359.547394834339	230.446019582533	178.800099722156	194.16763817333	260.680798273473	114.703147794103	173.415644892293	87.4439854719677	142.648337714337	101.962902637712
ENSMUSG00000000194	1792.92890134038	1822.43762518838	1681.25815482752	1827.47755473517	1825.46230374947	1822.33987855436	1606.34706435314	2037.74689681819	1531.75654975459	1444.04236935599
ENSMUSG00000000197	30	37	22.9329656015586	17.3443351677177	11	30	17	36	18.7834120533181	9.45985584806493
ENSMUSG00000000202	2	3	3	1	3	1	3	2	0	0
ENSMUSG00000000204	4	4.21213004657789	4.15360474107644	0	3.07224203400262	2.07965613672094	1.08458944843531	5.0604595368394	0	1.87443208756006
ENSMUSG00000000214	2	0	1	0	0	0	0	0	1	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000223	117.090318225961	82.292812819259	140.090737668865	105.055816103726	138.05213056597	81.073705228384	81.3455332170878	80.0942219142175	70.0386265908937	84.0511892075117
ENSMUSG00000000244	18.8852068190976	14	12.918617279597	4.61703851586894	13.0159529470189	19	19	12.1296162253683	3.95146890862009	3.83925770265192
ENSMUSG00000000247	64	108	36	36	81	115	71	124	68	41
ENSMUSG00000000248	0	0	1.06684456988394	1	2.01679511014663	2.0228357557938	1.02367497279522	0	0	0
ENSMUSG00000000253	209	115	261	273	176	107	156	117	205	198.949678832999
ENSMUSG00000000263	0	1	1	0	0	1	0	0	0	0
ENSMUSG00000000266	34	30.1529356376184	18	11	48	23.6004608720271	44.4149388427989	26.673872664765	17.6650915634809	10.1932176369442
ENSMUSG00000000275	3988.03070662279	4711.13375639169	4394.1936537685	4994.80466538565	4607.82757243098	4960.21680281631	4334.13643351123	5595.51435395504	4883.57714669899	4533.00241541971
ENSMUSG00000000276	717.792492847666	928.077732076363	634.014919864015	675.776987525626	922.342318302823	1150.8406644902	761.894277757057	1055.82663139355	638.077224009473	607.952511691236
ENSMUSG00000000278	3643.82490703159	3818.88858421297	3365.96481554636	3694.96465934393	4135.89702152868	4030.67109979617	4018.87293042242	4857.89579421546	3568.9662574609	3460.96097143351
ENSMUSG00000000282	1343	1463	1733	1784	1569	1476	1445	1556	1741	1694
ENSMUSG00000000290	2	5	5	6	3	2	2	10	0	3
ENSMUSG00000000295	609	683	638	792	698	630	640	808	585	530
ENSMUSG00000000296	210	218	55.6604679035654	41.7481043333694	162	200	135	195	36.3613086888013	24.1673167197834
ENSMUSG00000000301	101	122	136	161.006804450968	131	115.042158545826	119	142	128	122
ENSMUSG00000000303	15941.0409140208	19297.8824101068	20523.7130045237	21996.0313246759	17191.4493034561	20400.4180682547	16789.9048343114	22309.7595982452	20200.8800748297	18907.68052663
ENSMUSG00000000305	98	143	88	122	131	149	121	199.011961128983	69	97
ENSMUSG00000000308	1148	972	1283	996	892	718	672	637	808	630
ENSMUSG00000000317	187	100	117	120	234	110	199	95	182	180
ENSMUSG00000000318	1	10.5097692868583	5.02948485021728	5.10917658173063	0	7.45781298249637	3.01882731250978	7.09005894908849	5.30313222547777	1.08335202245702
ENSMUSG00000000320	60.8722719555854	65.1282440670025	82.2437630094163	55.0411574909665	42.2991887801751	66.598483086558	41.9010555817954	83.7421831412733	52.9954895156715	29.4926048270246
