FIB_slow1	FIB_slow2	FIB_slow3	FIB_slow4	FIB_m1	FIB_m2	FIB_fast1	FIB_fast2	FIB_fast3	FIB_fast4
ENSMUSG00000000001	5629	4910	4468	4594	5798	6834	6677	7760	5645	5274
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	1446	1075	1412.84680352013	1299.85707415221	940	827	783	625	1353.68225538626	1121.69518336638
ENSMUSG00000000031	16	8.0449491988825	41.085621021559	50.9203372865856	28	17	30	26	7	6.73316064353427
ENSMUSG00000000037	298	205	109	134	171	136	139	104	99	165
ENSMUSG00000000049	2	7	6	3	3	6	2	4	4	4
ENSMUSG00000000056	1458	1251	378	449	1247	1570	1094	977	383	439
ENSMUSG00000000058	4303	3636	2158	1960	3473	3375	2600	3147	1494	1529
ENSMUSG00000000078	12650	10556	7712.48147269595	6575.20346582481	11162	12933	9425	9858	4863.52619573535	4293.33782439061
ENSMUSG00000000085	1307.33303634917	1114.51953004566	908.612971266405	1092.30438304406	1064.24666086672	1300.38527442173	936.764131216888	981.117739717207	879.850412569353	859.614147918112
ENSMUSG00000000088	2286.87745242939	2065.48238453282	2284.61271464233	2238.21797482666	2076.82941495847	2853.88706109328	2141.54964718569	2509.10123104834	2369.22153652567	1981.01254758444
ENSMUSG00000000093	8	8	3	5	5	7	2	2	3	1.00123456287175
ENSMUSG00000000094	3	1.00054212655918	0	0	0	3.00238331830901	5	1.00185576068401	5	2.00088746177866
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	2.18193178845423	0	4.59803790869815	1.02815489190151	2.04333598180925	0	1.01767943624208	5.53040798118428	1.02232149633482	2.06388379341053
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	266	227	256	287	190	241	199	181	168	163
ENSMUSG00000000127	1559	1547	1680	1737	1634	1906	1680	1984	1525	1412
ENSMUSG00000000131	2229	1986	2497	2492	2361	2691	2413	2839	2470	2541
ENSMUSG00000000134	1455.69077560816	1198.9334754339	1301.93863837026	1533	1535.70028813191	1840.92688590961	1672	1718	1589	1823
ENSMUSG00000000142	96	111	124	113	52	64	22	24.4390073031345	24	42
ENSMUSG00000000148	783	644	618	691	713.992463912779	902	726	775	574	747
ENSMUSG00000000149	3128.53725007543	2458.14691065408	2872	2792.84422702027	2882.53434412214	3741.47415730911	3013.92777424157	3328.88106010168	2843.30177287123	2491
ENSMUSG00000000154	10	10	0	6	4	14	6	1	2	1
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000167	34.1984286574618	48.0871874211017	31.0016856366397	41.3185832889562	27.0155511087205	47.1985541677088	33.6614421747431	27.038940478172	20.6276462076189	21.1191142603498
ENSMUSG00000000168	2130	2031	2124	2063	2130	2621	1993	2325	2220	1819
ENSMUSG00000000171	1911	1662	2202	2260	1843	2318	2145	2132	2780	2154
ENSMUSG00000000182	4	4	2	1	3	2	3	0	0	2
ENSMUSG00000000183	1.03056140330218	2.01272053373945	0	0	1.00615758711081	3.02009251353317	0	2.01196593083797	1.00568605713301	2.092571373087
