Cell type	UMAP	 of cells	 of UMI	Median UMI/cell	" cells with embryo time< 390 minutes"	" cells with embryo time in [390, 510) minutes"	" cells with embryo time in [510, 650) minutes"	" cells with embryo time >= 650 minutes"	"Cumulative terminal cell type count"	Notes
Body_wall_muscle	Muscle and mesoderm	1120	3226015	2543	1120	0	0	0	0	This annotation is given to cells that could be identified as BWM but are too early to express position marker genes.
BWM_head_row_1	Muscle and mesoderm	2384	5167636	1807	693	1204	287	200	1	We count head and non-head BWM as separate cell types, but do not distinguish between subsets of non-head BWM.
BWM_head_row_2	Muscle and mesoderm	2106	3772372	1551	776	1079	161	90	1	See above.
BWM_anterior	Muscle and mesoderm	5191	11193801	1805	2246	2468	375	102	2	See above.
BWM_posterior	Muscle and mesoderm	5737	11934975	1742	2274	2542	689	232	2	See above.
BWM_far_posterior	Muscle and mesoderm	982	1980348	1709	475	382	98	27	2	See above.
Coelomocyte	Muscle and mesoderm	787	1099227	1227	239	521	27	0	3	Some cells with this annotation are from before the ~440 minute coelomocyte division, but we make an exception and call them "terminal" cells as they express marker genes of differentiated coelomocytes.
GLR	Muscle and mesoderm	768	982630	1139	651	117	0	0	4	
hmc_and_homolog	Muscle and mesoderm	122	148678	1168	120	2	0	0	4	This annotation is given to cells in the hmc/hmc_homolog UMAP trajectory before the branch point that distinguishes these two cell types.
hmc	Muscle and mesoderm	189	250280	1163	5	129	55	0	5	
hmc_homolog	Muscle and mesoderm	155	201301	1208	25	130	0	0	5	We do not count the hmc homolog as a "terminal" cell type as it dies in the embryo.
M_cell	Muscle and mesoderm	315	757271	2170	45	172	16	82	6	We include the founders of post-embryonic lineages in our embryonic "terminal" cell type count as they do not divide until after embryonic development.
Intestinal_and_rectal_muscle	Muscle and mesoderm	88	115802	1082	77	11	0	0	6	This annotation is given to cells that could be identified as mu_int, mu_anal, or mu_sph but are from earlier embryos before the split between mu_int_mu_anal and mu_sph is apparent in the UMAP.
mu_int_mu_anal	Muscle and mesoderm	363	540514	1184	61	183	98	21	8	We count mu_int and mu_anal as separate anatomical cell types due to their morphology despite them being transcriptomically similar/identical in our data.
mu_sph	Muscle and mesoderm	117	127801	1013	0	59	53	5	9	
Z1_Z4	Muscle and mesoderm	372	481159	1211	289	36	3	44	10	
g1A_g1P	Pharynx	142	243913	1603	29	108	5	0	10	This annotation is given to cells in the g1A/g1P UMAP trajectory before the branch point that distinguishes these two cell types.
g1A	Pharynx	178	351876	1688	0	0	147	31	11	
g1P	Pharynx	123	290673	2180	0	12	88	23	12	
g2	Pharynx	216	287058	1101	174	32	10	0	13	
Pharyngeal_marginal_cell	Pharynx	179	437689	1781	179	0	0	0	13	This annotation is given to cells that could be identified as mc1 or mc2 but are too early and do not yet express mc1 vs. mc2 marker genes.
mc1	Pharynx	168	578108	1677	158	10	0	0	14	We count mc1 and mc2 as a single cell type due to transcriptomic similarity, but count mc3 as a separate cell type due to transcriptomic dissimilarity.
mc2	Pharynx	190	396318	1676	139	51	0	0	14	
mc3	Pharynx	374	684667	1480	331	43	0	0	15	
Pharyngeal_intestinal_valve	Pharynx	496	760173	1391	332	103	61	0	16	
pm1_pm2	Pharynx	197	413917	1097	47	140	10	0	17	Counting pm1 and pm2 as a single cell type.
pm3_pm4_pm5	Pharynx	1849	3788767	1704	1533	241	75	0	18	Counting pm3, pm4, and pm5 as a single cell type.
pm6	Pharynx	144	252746	1574	95	49	0	0	19	
pm7	Pharynx	270	469249	1587	203	64	3	0	20	
pm8	Pharynx	32	42740	1297	13	19	0	0	21	
Pharyngeal_muscle_incomplete_dissociation	Pharynx	70	882928	13111	0	0	70	0	21	This annotation is given to cells from late embryos that have a transcriptional profile similar to pm3_pm4_pm5, but also have UMIs from neuron-specific genes, suggesting that dissociation of these differentiated muscle cells and the neurons that innervate them was incomplete.
Anterior_arcade_cell	Pharynx	151	199376	1079	17	49	85	0	22	Anterior and posterior arcade cells appear to converge to a common transcriptomic profile, so we count them as a single cell type.
