"ESC_slow1","ESC_slow2","ESC_slow3","ESC_slow4","ESC_fast1","ESC_fast2","ESC_fast3","ESC_fast4"
"ENSMUSG00000002459",6.26620941270404,7.98286695959903,4.01611757108371,1,5.29055385636754,6.35027862830787,5.94669191852897,4.16031435342738
"ENSMUSG00000005886",1077.89037414294,1327.81653605376,1331.6048183575,1488.70060557517,1266.65093809784,1426.95157204659,1131.32348375923,1034.17075305593
"ENSMUSG00000025900",0,1,0,0,0,2,0,0
"ENSMUSG00000025902",13,14,3,6,16,20,10,2
"ENSMUSG00000025903",3403.08855629749,3326.89776569902,1827.10765984508,2258.25039124128,3766.56180558245,3734.50891104099,2177.93672934467,2202.29785142095
"ENSMUSG00000025905",1.12356174187739,0,0,3.0937815946152,0,2.1228501477951,4.48265918868765,1
"ENSMUSG00000025907",883.616455468322,1016.03769122899,818.971318194777,947.995201613767,1114.15484420537,1241.07646400132,843.874168554794,795.358994486804
"ENSMUSG00000025911",141.893473853092,78.9374021736869,91,92,99.8372296627481,96,97,82.9502046611995
"ENSMUSG00000025916",0,2,0,0,1,0,0,0
"ENSMUSG00000025917",2572.37953951899,2841.32945820003,2218.73478507564,2746.64043937631,2949.66028559276,3571.62650813663,2608.31578886307,2533.02406861469
"ENSMUSG00000025920",216,221,181,158,179,201,164,129
"ENSMUSG00000025921",132,117,118,114,156,154.000000000001,118,111
"ENSMUSG00000048960",457.1737012007,578.964843812627,287.974521121038,555.649698632786,453.529908513787,550.539958841374,259.069056812284,287.750816732035
"ENSMUSG00000025925",2558.91702036607,2952.30334578104,2346.81914471208,2946.36932145256,3429.81146856396,4090.10825056054,2146.62825842288,2092.62600290782
"ENSMUSG00000025930",44.0374038261146,36.9554894232444,30.9824046857534,54.9772017472633,34.9905441395806,51.647079746412,31.024812139483,38.7677694373404
"ENSMUSG00000025932",123.277749767442,78.2625302281187,113.979720461975,126.810918778421,87.7718447525415,97.8109770487937,152.493850292232,107.61370032289
"ENSMUSG00000025935",2767.66701599319,2873.14740313421,1878.38896875628,2196.6645063263,3096.1188173638,3540.24928081869,2111.60454433681,1979.5102484821
"ENSMUSG00000025937",2410.20960610447,2852.44768519876,1556.38719406044,1697.13351536719,2425.94932787118,3073.6942431418,1770.39156343794,1549.21912402519
"ENSMUSG00000048538",0,3.3244155774463,10.222280951741,5.32652001516783,1.73293939291186,5.08494413306064,3.36933504827152,3.36479158785591
"ENSMUSG00000042501",56.0972816139922,97.3465620340971,15.4350358256315,33.9341028248835,83.5687444330445,139.298535321913,20.7189137591467,31.8618781766723
"ENSMUSG00000101571",6.02813824444141,4.01949627216922,2.00533637394263,3.00926004233203,3.01415438779724,1.00434595619979,4.00765236777666,2.00577368562145
"ENSMUSG00000032719",7.81001220302202,7.14518869550899,0,5.6100096936666,0,1.0801721062831,2.25498875847174,3.81456060175402
"ENSMUSG00000032769",69,101,72,81,86,91,47,43
"ENSMUSG00000033740",0,0,1,0,0,5,0,0
"ENSMUSG00000033774",3.17413900678659,4.00157532626521,5.0105981507914,5.00457934415698,4.05109113584442,4.12434709175137,4.22424446630452,2.31596532372588
"ENSMUSG00000033793",1261.44647545192,1304.8387389093,1119.42469826755,1173.34024829606,1202.862388506,1491.92016061388,990.412633337531,989.087960007591
"ENSMUSG00000033845",3072.13783276564,3324.30920739371,3149.11834068808,3668.17408893071,3245.43314685684,3859.6841255765,3326.89383030247,3365.67393085251
"ENSMUSG00000042414",1690,2187,1876,1699,1496,2132,1434,1291
"ENSMUSG00000057715",117.429730528278,147.264826970098,79.3727076769239,87.31330312072,105.464288633234,115.521433929927,68.3740051614464,79.996187784969
"ENSMUSG00000046101",104.337155011429,129.30610764828,75.9930597742207,93.2436820354337,94.8836666718197,140.355791500757,90.6448533185287,70.3533066140253
"ENSMUSG00000045210",1421.81190076322,1529.99866424144,1120.29643073695,1272.56314430245,1642.71046797888,1785.80901234274,1162.17132085455,1081.54820269533
"ENSMUSG00000043716",44568.8539368677,43270.6296954847,47323.8766202636,53757.7923692455,44158.8627951737,51518.5413428785,47160.8300323528,45727.1508237188
"ENSMUSG00000069620",4.06132851006596,2.04019006929285,0,2.02730695200734,1.59614978376509,6.88427857905528,1.0127036988156,2.03560098094131
"ENSMUSG00000051285",919,1229,625,671,1057,1212,791,656
"ENSMUSG00000046334",0,0,0,0,2.40456355224171,0,0,0
"ENSMUSG00000025940",422.435574719961,380.578447181125,345.59996977463,343.585490388963,392.770896956542,456.156833300702,362.887411055362,355.231304526498
"ENSMUSG00000054493",1.10176652346951,3.31959789729804,1.01759531424662,2.19049418893588,1.04911599156681,1.09331537978347,0,3.28125224931405
"ENSMUSG00000051951",2,0,1,1,0,2,1,0
"ENSMUSG00000056763",1055.21887410427,1135.0144962471,1153.18264670957,1314.02640921782,1176.08124635108,1170.02033060744,1237.22794293711,1075
"ENSMUSG00000061024",2821.98056276994,3118.97699552671,3178,3460.97848855893,3123,4200.93185296456,3232,3636
"ENSMUSG00000062588",0,0,0,0,0,7.56238806115467,3.52832498586151,7.46155874506222
"ENSMUSG00000033813",7056.45439246318,6935.72430199713,5248.42898345087,6513.21571376779,8062.21022425246,8899.58648842527,6323.08367400911,6441.94611176173
"ENSMUSG00000064842",0,0,0,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0
"ENSMUSG00000066693",1.43624130572784,1.35444136108822,0,0,4.16403755201972,0,1.48276199105108,2.13740659684685
