ESC_high_1	ESC_low_1	ESC_high_2	ESC_low_2	ESC_high_3	ESC_low_3	ESC_high_4	ESC_low_4
ENSMUSG00000000001	4181	699	3754	3784	3919	3450	3049	3062
ENSMUSG00000000003	0	0	0	0	0	0	3	0
ENSMUSG00000000028	2314.91410603038	378	2319.85440898306	1987.68013524481	2344.9509066177	2104.93190852839	2059.5821392906	1939.78980897189
ENSMUSG00000000031	31.6515650135397	2.16053793407718	27.6283295883785	35	192.863412894137	51.3673576078649	88.7225114070032	80.1559742945336
ENSMUSG00000000037	591	169	596	883	675	2007	869	438
ENSMUSG00000000049	0	0	0	0	0	0	0	0
ENSMUSG00000000056	628	91	585.99632679463	645	415	517	530	497.99914851285
ENSMUSG00000000058	2	1	1	5	3	9	9	4
ENSMUSG00000000078	834.331856481628	121.295137678556	700.708786037154	634.663406145328	837.161259672758	573.676177790395	1369.71929854744	839.957028416392
ENSMUSG00000000085	473.107776640024	70	416.049939530809	480.20729714962	356.094489028181	578.135249707732	832.136844727026	738.145229651723
ENSMUSG00000000088	6687.89175227535	1275.91468323904	5989.60496043016	6226.05253194876	7828.59028579102	7222.25803022846	7171.25814270928	7023.66424057831
ENSMUSG00000000093	7	3	8	18	16	39	37	14
ENSMUSG00000000094	5.00727167238748	1	5	16.0190120740213	24	46	27.0175229703812	5.01860739660314
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	1723.00280718192	312.428451204271	1539.98551354724	1543.16896940011	1953.79431308224	1377.36214263921	899.144116238225	741.59830743298
ENSMUSG00000000125	12	3	9	10	8	9	14	16
ENSMUSG00000000126	6	0	6	7	9	7	29	27
ENSMUSG00000000127	709	128	698	609	623	662	631	596
ENSMUSG00000000131	4851	771	4672	4498	5062	4914	4382	4614.19440554062
ENSMUSG00000000134	5314	897	4807.17994198322	5184.60275227809	5756	6406	4149	4453
ENSMUSG00000000142	1148.78515534472	176	1031.5109569633	837.865863163795	1222.92007216728	754.95151021187	920.919877443774	756.672012227781
ENSMUSG00000000148	705.992996264157	114	676	635	763	765	629	718
ENSMUSG00000000149	1373.25981479216	181.339777500624	1331.92096270958	1231.5745600112	1648	1582	1470.26629553024	1711.81800544344
ENSMUSG00000000154	108	23	105	121	133	198	387	342
ENSMUSG00000000157	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	2	1	0	1	10	0
ENSMUSG00000000167	30.0924835041225	5.06773530860618	33.044051498395	34.1332883423718	63.0029301735484	45	34.61900696465	27
ENSMUSG00000000168	2516	378	2569	2299	2305	2135	2615	2558
ENSMUSG00000000171	4335	684	3761	3526	4911	4128	3829	3688
ENSMUSG00000000182	1	0	2	3	1	1	7	9
ENSMUSG00000000183	0	0	0	0	0	0	0	0
ENSMUSG00000000184	128.178582058582	23.3281965911008	105.061766962639	113.120530492884	64.0140761538199	91.8854047208776	111.373877976085	95.7757837378335
ENSMUSG00000000194	1749.03309462845	317.16261273686	1653.38898931178	1677.83236321239	1712.13356996574	1978.8819320753	2166.72019634788	1845.64426639967
ENSMUSG00000000197	16.937438929861	0	6.37562171124954	19.6625556886553	7.72221049637309	14.6353684939879	17.1311075473301	19
ENSMUSG00000000202	2	1	3	2	1	4	2	2
ENSMUSG00000000204	0	0	2	0	3.75016134552236	9.40295301654665	0	0
ENSMUSG00000000214	1	1	0	0	2	6	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	2	0
ENSMUSG00000000223	74.0365368178717	21.4940878003728	44.4558575432029	51.0551520969688	35.5535152726718	78.971183474208	86.907087661912	56.0489027967788
ENSMUSG00000000244	10	0	7	10	13.7431896987759	17.975370653779	17	8.65173090746891
ENSMUSG00000000247	68	10	80	90	74	75	78	81
ENSMUSG00000000248	7.29741174322101e-05	0	0	0	0	0	0	1.10446527356
ENSMUSG00000000253	195.958160526567	30.3582145451384	221	166	260	234	354.99999981476	302
ENSMUSG00000000263	5	0	10	6	3	1	11	15
ENSMUSG00000000266	12	1	10	11	6.30886980966213	28.4953719342926	52	22
ENSMUSG00000000275	4111.76592745626	645.10092300911	4298.49235396557	3923.80245692667	4847.09850104719	4859.56687000821	4013.09494801356	3551.2277683392
ENSMUSG00000000276	1002.28907106078	131.350222804546	1002.74748634821	999.283006930002	1195.79218117982	1662.0725585323	897.605217984411	753.335293356834
ENSMUSG00000000278	4136.983539537	644.939185006617	4051.95796470654	3731.93490201301	4268.92174536449	3939.98111668725	6407.89145904068	6440.96576199795
ENSMUSG00000000282	1458	212	1471	1329	1717	1614	1103	1098
ENSMUSG00000000290	0	1	3	2	4	0	1	1
ENSMUSG00000000295	620	137	554	581	711	730	756	663
ENSMUSG00000000296	87.2522580279622	0	12.6012962168445	39.5552706435036	95.7832684802957	64.5920456674283	83.1667405145527	74.3173617402793
ENSMUSG00000000301	110	23	114.114013886634	136	199	78	89	117
ENSMUSG00000000303	18764.3650038351	3370	17840.6835878749	18505.224030022	17005.6316230622	17890.2548661861	19014.8618678295	17047.5724601331
ENSMUSG00000000305	192	25.6581019782757	118	155	231.00095481346	209	72	70
ENSMUSG00000000308	1058	178	1062	1114	1032	1421	2070	1712
ENSMUSG00000000317	214	24	206	149	176	54	92	134
ENSMUSG00000000318	1.03880966967083	0	0	1.03801424477378	1.06659103920307	9.97349379923633	1.28602985762662	0
ENSMUSG00000000320	69.9827915564122	14.061060615704	94.777711537099	69.4477039775923	108.241223399171	113.764903586979	148.320166494874	144.785275363964
ENSMUSG00000000325	998.668419595538	115.179938857226	1033.64903330712	875.702908396054	1229.97463984651	1249.86278504881	1833.28106090014	2025.05088034519
ENSMUSG00000000326	899.800790180088	166.859504992945	804.116405728495	905.536623803995	922.304059724313	1232.57380417485	1027.45768548086	1073.77324585405
