FIB_high_1	FIB_low_1	FIB_low_2	FIB_high_3	FIB_low_3	FIB_high_4	FIB_low_4
ENSMUSG00000000001	5244	5587	5970	3957	4543	3966	4303
ENSMUSG00000000003	0	0	0	0	0	0	0
ENSMUSG00000000028	1925.86466239905	1532.88524739967	1427.94204726293	1636.85395497403	1182.88357293457	1366.78024196531	1042.90595355331
ENSMUSG00000000031	15	17.0886652606924	17.7022334277986	26	29	16	14.8341933025547
ENSMUSG00000000037	81	96	121	156	205	126	152
ENSMUSG00000000049	4	4	2	4	2	5	2
ENSMUSG00000000056	402	272	392	633	627	586	554
ENSMUSG00000000058	1821	1733	1817	1388	1550	1360	1439
ENSMUSG00000000078	4221.25082926258	3494.64230839702	3269.1728283376	5928.63913369695	5582.33418688429	4638.8850751486	3835.92396972874
ENSMUSG00000000085	983.044586087106	829.449363079312	875.00734065721	990.352748268742	979.337713702655	976.285152743774	863.161728671021
ENSMUSG00000000088	2968.88704357456	2964.21605304491	2526.66037035388	2069.90952919348	1715.18858949078	2103.59187053426	1912.67241080654
ENSMUSG00000000093	1	5	1	6	1	3	6
ENSMUSG00000000094	1	0	1.00048647350421	1	1	3	1.00076568213805
ENSMUSG00000000103	0	0	0	0	0	0	0
ENSMUSG00000000120	2.0492115297266	0	0	1.02444147325932	1.23295788484371	0	2.05737631135186
ENSMUSG00000000125	0	0	1	0	0	0	0
ENSMUSG00000000126	94	81	130	174	148	208	188
ENSMUSG00000000127	2173	1643	1671	1767	1486	1717	1442
ENSMUSG00000000131	3034	2620	2762	2385	2417	2232	2265
ENSMUSG00000000134	1781	1984	2078	1590	1896	1609	1737
ENSMUSG00000000142	27	29	16	36	32	41	29
ENSMUSG00000000148	427	383	497	612	683	645	617
ENSMUSG00000000149	3017	2847	3522	2962.68697334318	2955.8296352759	2710.72692971007	2681
ENSMUSG00000000154	3	5	0	4	0	6	2
ENSMUSG00000000157	0	0	0	1	0	0	0
ENSMUSG00000000159	0	0	1	0	0	0	1
ENSMUSG00000000167	25.0958613859269	26.0730200480065	30	22	26.2079336508293	24.220269320497	25.038444957256
ENSMUSG00000000168	2629	2358	2131	1812	1824	1788	1709
ENSMUSG00000000171	2927	2996	2689	2252	2108	2129	2147
ENSMUSG00000000182	6	1	0	4	2	3	2
ENSMUSG00000000183	1.00428990608783	4.0201623767272	0	1.00665500440488	0	1.00482378158139	0
ENSMUSG00000000184	2029.53997535839	2233.27987719697	2933.99230265356	1185.2436312506	1276.56288598474	1401.95842987261	1321.19284772615
ENSMUSG00000000194	2881.22094018777	2543.45840933334	2961.03086829212	2949.9751868028	3044.96148596873	2919.52590907137	2940.63580230092
ENSMUSG00000000197	0	0	0	1	0	0	1
ENSMUSG00000000202	0	0	0	0	0	0	0
ENSMUSG00000000204	0	0	0	0	0	0	0
ENSMUSG00000000214	4	0	0	0	1	1	0
ENSMUSG00000000215	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0
ENSMUSG00000000223	17.3630108003571	22.0056661305746	23.0532561963244	27.2488574618407	17.0482092368665	18.0908234582197	24.3961744214952
ENSMUSG00000000244	2	5.48472544381628	8.01049854802142	16.9408323726893	10.8088748809084	2.07367661274738	13
ENSMUSG00000000247	250	145	193	260	204	244	199
ENSMUSG00000000248	1.00205154172485	4.04514194467941	1	2.05868066797531	0	1.70266942099768	0
ENSMUSG00000000253	154	106	105	124	70	139	82
ENSMUSG00000000263	0	0	0	0	0	0	0
ENSMUSG00000000266	1001.63518930978	802.532535147228	831.474903161229	1045.13931131288	1178.08798321119	999.724520619233	1006.49195839541
ENSMUSG00000000275	771.893293815102	843.50923663525	736.477284315569	793.873687129109	912.38773512559	744.144156634687	772.297671041713
ENSMUSG00000000276	356.067874632073	313.785270191376	244.54380194619	200.325795485914	238.893846406949	204.1158670167	241.742546185005
ENSMUSG00000000278	7849.9978452176	6111.99739979063	6924.99390253602	9532.99280273005	8412.99685228847	9172.99680223573	8938.98416644627
ENSMUSG00000000282	1453	1295	1249	1477	1582	1411	1359
ENSMUSG00000000290	11	7	9	27	19	24	23
ENSMUSG00000000295	502	448	381	419	343	479	369.934176162487
ENSMUSG00000000296	0	0	0	2	0	0	0
ENSMUSG00000000301	65	98	81	59	67	53	44
ENSMUSG00000000303	3	2	4.00852416143682	1	3.6734047845328	4.0039953063091	4.01053916264387
ENSMUSG00000000305	0	0	1	4	0	1	2
ENSMUSG00000000308	3	2	0	2	0	0	3
ENSMUSG00000000317	4	2	1	1	2	0	1
ENSMUSG00000000318	1	0.487537628128777	2	0	0	0	1
ENSMUSG00000000320	7.93683497371997	12.1774590036017	5.37383110070894	4.10185782417074	7.4881146051322	5.18784860480472	8.78556652133924
ENSMUSG00000000325	1551.33603904609	1054.83747865274	1080.71939224155	1581.4822866581	1290.3122126133	1653.5262240145	1305.33089072435
ENSMUSG00000000326	4812.76383691299	4480.25620633772	4267.84498207229	4149.4118062999	3794.83700731407	4114.68698419088	3933.28623656245
ENSMUSG00000000339	1414.05680966574	1469.41495061272	1390.28576710724	1024.7296305476	1160.9777213608	1051.70608687999	1242.17436816997
ENSMUSG00000000340	320.856834952823	214.317076140783	298.256957646119	311.43868165407	239.470568358962	297.270746520744	241.78132392279
ENSMUSG00000000346	5822.29782526784	6147.31307519471	5567.14195571583	6271.10440969114	6712.93435091175	6243.70183687129	6463.22787594311
ENSMUSG00000000355	782	757	580	712	655	783	783
ENSMUSG00000000359	145	116	62	81	54	100	72
ENSMUSG00000000365	0	0	0	0	0	0	0
ENSMUSG00000000374	3559.68031198904	3358.74840365914	4078.17471662879	3414.61334884016	3383.6754760104	3265.603844052	3185.20782822121
ENSMUSG00000000378	1250	1006	1028	1098	1051	1150	1006
ENSMUSG00000000381	0	0	0	0	0	0	0
ENSMUSG00000000384	1865.03508143567	1919.29572978023	1815.60741185577	1120.99369061945	1342.28032447556	1003.66075948569	1071.15010852315
ENSMUSG00000000385	0	0	0	0	0	0	0
ENSMUSG00000000386	8.09829671397087	3	3.15153529550743	6.48563248238431	0	2.25437389004328	1
ENSMUSG00000000392	113.023863008062	59.0435848698962	58.0692217150502	340.430472649739	257.252412589146	328.422923047812	279.209299222286
ENSMUSG00000000394	0	0	0	1	0	0	0
ENSMUSG00000000399	644.513036814547	809.323739737212	470.708258748133	530.940143038378	435.894505428163	359.078950222131	529.878666372551
ENSMUSG00000000402	1.01000938906804	2.05546785084192	2.00169460601342	6.01680310751154	6.06344761693688	1.23460774461212	5.01211912816965
ENSMUSG00000000409	17	32	29	27	47	21	46
ENSMUSG00000000411	2	4	2	1	0	0	1
ENSMUSG00000000416	0	2	0	0	0	0	0
ENSMUSG00000000420	4124.30225735655	4236.20239406198	4355.23426748979	3273.0525707263	3311.23442717894	3411.25932880349	3154.16051952655
ENSMUSG00000000435	1	0	3	0	0	0	0
ENSMUSG00000000439	985.972292024138	910.584612506794	826.583534415096	985.195604241049	1091.88149737839	938.04703183271	1116.6669175177
ENSMUSG00000000440	180.836030303702	51.6566501672313	79	160.30045229376	52.2924324622385	145.111601307515	83.5942976693148
ENSMUSG00000000441	3022.02631542845	2978.70141583093	3237.8321587466	3586.2131759134	3920.40285688509	3377.76201642294	3508.03156665068
ENSMUSG00000000486	24	26	12	27	17	24	15
ENSMUSG00000000489	587.163171550411	468.740053743058	433.885734234505	450.252744083118	359.724742017979	516.993397839071	371.825692569407
ENSMUSG00000000530	23	18	20	15	9	12	9
ENSMUSG00000000531	768.259317986882	874.375379145677	1006.95763229788	684.362423740392	861.363457611392	665.838040193101	762.767260187354
ENSMUSG00000000532	386.877831963249	429.406198445421	371	426.911140818714	425	448.112644040198	495.033872581703
ENSMUSG00000000538	1661	1328.58409098146	1441.70169397165	2067	1930.82079651244	1828	1785
ENSMUSG00000000544	0	0	0	0	0	0	0
ENSMUSG00000000552	82.4596811532385	115.557719298783	36.8967423045446	150.565062199595	150.660240589516	87.4211835568627	113.192891332418
ENSMUSG00000000555	9522.92783000421	8013.47596109114	9567.86493727005	6883.21435855751	7247.43252263584	6892.47636959183	6648.03247241349
ENSMUSG00000000560	0	0	0	0	0	0	0
ENSMUSG00000000561	2199.78884321321	2517.32873068017	2187.88131994308	1497.29958038424	1715.71116799718	1607.44765343053	1632.66924604631
ENSMUSG00000000562	6.00137769984976	6.01038396850736	1.00036431014177	7.37491421313478	5.32560135837509	10.0530104011521	7.02767080146858
ENSMUSG00000000563	5824.46752764428	6554.78269592874	5662.57507672111	4485.47487399417	5130.21705825862	4624.10020093311	5307.78127090018
ENSMUSG00000000567	50.0231453352141	29	31	86	55	58.321710556078	56.0713395117344
ENSMUSG00000000568	6196.27841100967	6608.32006794152	5677.38107014448	5544.63931394446	5531.76824187746	5783.23091071754	5282.88718543757
ENSMUSG00000000579	218.213747202859	246.785035482912	179.179636775225	246.618153986694	168.249104962771	214.395166696192	198.753999214473
ENSMUSG00000000581	902	844	727	833	863	937	899
ENSMUSG00000000594	159	103	67	280	175	294	199
ENSMUSG00000000600	947.776386179583	734.977274996033	915.0077876015	809.875875779968	837.01182320463	913.20562169659	764.986506668687
ENSMUSG00000000605	1650.00779837274	1240.34663889722	1571.15619335689	1447.15828329647	1473.4908495416	1656.54265880686	1441.59333562701
ENSMUSG00000000606	0	0	0	0	0	0	0
ENSMUSG00000000617	2	0	0	0	1	1	0
ENSMUSG00000000627	5.00669829998322	7.01826266881966	5.72191783410165	0	2.34992944360098	0	2.35283035435633
ENSMUSG00000000628	849.06525655814	737	587.048078057498	353	331.022365462738	339.012466058429	311.960100419554
ENSMUSG00000000631	2920.88512896763	2210.38507763839	3504.46097440965	3150.21626851694	3080.05608887322	3001.91409232285	2591.90330854514
ENSMUSG00000000632	3.19756500502512	1.08122549287313	2.11786158636889	0	3.12073140129501	0	1.10681650546258
ENSMUSG00000000673	4	4	3	5	3	5	0
ENSMUSG00000000682	0	0	0	0	0	0	0
ENSMUSG00000000686	28	32.3318290059151	56	29	55.5280891133951	42	41
ENSMUSG00000000690	562.335281248536	516.240941295762	492.469857439353	525.339881639023	632.850823557194	455.513725830953	488.898669619927
ENSMUSG00000000693	7806.37410272461	6199.36166347763	6763.54261503997	5309.71802324525	4985.42600151339	5362.85676643661	4760.67630345377
ENSMUSG00000000701	3	0	0	0	0	0	0
ENSMUSG00000000706	0	1	0	3.6187666589923	0	0	0
ENSMUSG00000000708	1200	787	946	1426	1297	1403	1350
ENSMUSG00000000711	3511.74447112241	3093.16058136309	3700.23237609842	4164.92118990564	4240.06218936413	4191.5587561135	4069.6774859882
ENSMUSG00000000724	4.11420901490631	3.01242852605563	5.03004046954089	1.00667997789557	4.00351165567362	5.03426089496262	9.15386390332017
ENSMUSG00000000730	34	18	18	28	25	28	19
ENSMUSG00000000731	6.44504449105665	2.16941112895638	2.03960989147507	6.25746432949108	4.3437253966939	10.4032095258843	4.41426381096058
ENSMUSG00000000732	131.483592248042	98.1653107877206	175.204815150577	275.15594119248	240.080577009155	279.908078459067	340.142452144922
ENSMUSG00000000738	1757.81870863218	1529.5401383491	2010.48471896198	2309.74599808769	1972.62307887425	2163.11178586409	1850.46742375833
ENSMUSG00000000739	8.87127561874437	25.424323359257	10.6969182638131	17.7793042625744	29.2525162659908	17.4106023216713	23.8698391892818
ENSMUSG00000000740	17360.6526257573	19823.4922300233	18151.7613336027	17364.3872147757	16894.8585783705	18084.4668075113	17158.7190858645
ENSMUSG00000000743	2445.23261070925	1939.59984782712	2289.41529195338	2117.00056994235	1859.15317041905	2134.090733378	1985.40462919916
ENSMUSG00000000751	7182.70183799098	5690	5764.07900036045	5206.81898649865	4403	4893	4010
ENSMUSG00000000753	14286	12590	14810	23087	25000	23126	27080
ENSMUSG00000000759	1899.91949098073	1510.27449836779	1551.87773855874	1976.20198592024	1651.11198309584	1985.95733376134	1528.29148715452
ENSMUSG00000000766	0	0	1	1	0	0	0
ENSMUSG00000000776	1152.2925168807	1029.60398444759	1106.50687235849	1027.74171310369	1103.28668934199	919.053119719267	861.11145804936
ENSMUSG00000000782	172	184	104	118	88	131	103
ENSMUSG00000000787	13447	14779.9995553149	13697	11524	12880.9993563824	11182	11607.9992597466
ENSMUSG00000000791	126.851713537426	178.574615994976	140.554572956413	63.8243653007612	126.230024004137	99.5164101279235	113.918439213146
ENSMUSG00000000792	7	19	9	2	5	2	4
ENSMUSG00000000794	5	2	5	4	5	6	4
ENSMUSG00000000804	1178	842	990	1054	1082	1097	985
ENSMUSG00000000805	0	0	0	0	0	0	0
ENSMUSG00000000811	445	570	481	357	445	360	461
ENSMUSG00000000817	0	2	0	0	0	0	0
ENSMUSG00000000823	1889.43158900412	1109.87454713051	1402.12616997729	2139.5303121971	1680.47770100737	2331.85259551441	1845.84579935692
ENSMUSG00000000826	3828	3693	3800	3715	3800	3790	3808
ENSMUSG00000000827	2794.93077034427	2617	2681	3232	3203	3220	3215
ENSMUSG00000000838	2773.31610133973	2577.80500201706	2185.19406630801	2299.30190107793	2251.15806416422	2372.16531422139	2200.15288005592
ENSMUSG00000000861	0	0	1	0	2.00582795065107	1.00272545509704	1.002620241751
ENSMUSG00000000869	6	6	6	7	11	16	17
ENSMUSG00000000876	470.329172569224	350.38001580283	479.829738947561	655.464789879658	655.18071228502	669.969512872021	632.939517768184
ENSMUSG00000000881	1496	1037	1193	2175	1899	2359	1954
ENSMUSG00000000884	261.163338351143	250.868399845501	143.065462159498	220.456574254805	181.804854124717	140.297873595218	192.248169012838
ENSMUSG00000000889	0	0	0	0	0	0	0
ENSMUSG00000000901	3378	3067	3848	5029	5105	5420	5506.36755523506
ENSMUSG00000000902	5020.85367425497	4853.69169157129	5051.26570551922	4908.93778322295	5312.64558399599	5006.64488011161	5015.65279760693
ENSMUSG00000000903	0	0	0	0	2	0	0
ENSMUSG00000000915	787.772470487201	625.541589370722	726.245053222231	588.337331714756	450.719794666264	572.411521531338	489.460780549103
ENSMUSG00000000916	514.977453069287	619.469178016904	532.378312899961	416.605636145309	493.147163662305	487.883379831718	504.522359550942
ENSMUSG00000000934	530	478.10690951631	550.75878915851	444	431.464101833782	462.506603434413	449.614598620132
ENSMUSG00000000938	875	937	1036	1408	1798	1302	1666
ENSMUSG00000000942	12	9	22	9	11	15	11
ENSMUSG00000000948	14.414804666843	28.4346595592296	10.8225497591123	18.2260826140977	11.2143397525656	35.0391630786538	31.3983099781214
ENSMUSG00000000957	17885.6434226761	14311.5791588137	18037.2332644326	23277.1232748621	19998.012057707	22921.6906484177	19924.9151520619
ENSMUSG00000000958	0	0	0	0	0	0	0
ENSMUSG00000000959	1107.38766578278	1108.25597171536	1203.78956910028	1125.14786305594	1337.05925113758	1124.67944550215	1223.46735379818
ENSMUSG00000000976	679.025779350914	561.35336633168	640.169490246598	836.785817441594	859.13530236546	792.690221493726	815.507865067788
ENSMUSG00000000982	0	0	0	1	1	1	0
ENSMUSG00000000983	0	0	1	0	0	0	0
ENSMUSG00000001014	2.68425429848983	0	2.63430073073147	0	0	2.82009019405947	2.57997000462788
ENSMUSG00000001016	1305.32447168439	1602.7365769989	1181.9092436396	1146.72355319506	1250.69818511251	1186.04091862307	1347.99160825446
ENSMUSG00000001017	3504	3796	3357	3486.95799568256	4157	3516	3875
ENSMUSG00000001018	1477.20155211443	1259.07832933449	1320.5853490281	1796.23835007348	1995.08629937517	1757.66251559993	2031.74180185439
ENSMUSG00000001020	57175	59912	48798.8827236638	69069	57083.9171517203	64631	56246
ENSMUSG00000001021	23.9803224950143	26.7426895974722	30.8630284040418	11.0967093754091	11.3938188298887	8.8633913454125	15.0615073704575
ENSMUSG00000001023	5	21	18	4	6	7	4
ENSMUSG00000001025	15989.7098210915	15706.2482024979	14465.1650427698	17073.2478471497	12830.8283224488	14872.9610310919	12259.8805821277
ENSMUSG00000001027	0	0	0	1	1	0	1
ENSMUSG00000001029	0	0	0	0	0	0	0
ENSMUSG00000001034	1110	984	1233	1113	1136	1034	1001
ENSMUSG00000001036	802	614	597	860	637	826	558
ENSMUSG00000001039	340	445	396	441	430	462	481
ENSMUSG00000001052	2587	2436	2790.01474501434	2732.99873031088	3185	2659.98507186972	2835.99827127022
ENSMUSG00000001053	98	106	99	129	131	85	102
ENSMUSG00000001054	614	505	569	650	643	722	617
ENSMUSG00000001056	1895	2154	1471	798	722	825	757
ENSMUSG00000001062	599.269520386241	507.239200268382	672.053726097519	807.277372836518	822.700935932472	845.47027316177	776.929517085225
ENSMUSG00000001065	618.379034397823	638.945540971978	689.133682136701	731.428714718006	733.692482014333	798.734879625209	775.255494152295
ENSMUSG00000001076	2	4	4	0	9	4	6
ENSMUSG00000001082	3013.99794584513	3181.8928414436	3154.90381735124	2849.56028877878	3155.06322460188	2755.65848576017	2868.82691627705
ENSMUSG00000001089	3170	2551	2563	3081	2948	3025	2602
ENSMUSG00000001095	0	1	0	0	1	0	0
ENSMUSG00000001098	9608.37288379208	7297.17133031649	7081.01681739233	8281.02442040422	7338.03192587508	7104.26486398655	6187.10011954289
ENSMUSG00000001100	2119.67580346979	2170.14176189493	2039.27304394857	1642.89454320556	1852.7283043991	1742.37635115197	1909.05231262783
ENSMUSG00000001103	0	0	0	0	2	0	0
ENSMUSG00000001105	988	888	928	931.984948223904	884	1000	1049
ENSMUSG00000001119	71054	57400	88834	87081	93224	97784	97295
ENSMUSG00000001120	1147	867	811	1172	863	1057	829
ENSMUSG00000001123	1593	1144	1401	1858	1583	1665	1524
ENSMUSG00000001127	1980.32772148237	1609.71216574108	1751.06129359269	2613.21898435092	2524.51894376397	2740.24236188181	2513.41126405211
ENSMUSG00000001128	266	242	229	345	364	379	334
