"doubling_time"	"conditions"	"TMRE"	"O2"	"VitC"
14.8064077641856	"HL0"	"H"	"L"	"0"
13.1343770156797	"HL0"	"H"	"L"	"0"
14.3853962285272	"HL1"	"H"	"L"	"1"
14.506797816458	"HL1"	"H"	"L"	"1"
14.4342575864391	"HN0"	"H"	"N"	"0"
13.3839831162548	"HN0"	"H"	"N"	"0"
13.0919887880338	"HN1"	"H"	"N"	"1"
14.6962927565296	"HN1"	"H"	"N"	"1"
13.9197408811377	"ML0"	"M"	"L"	"0"
14.2527674899642	"ML0"	"M"	"L"	"0"
14.4774553710425	"ML1"	"M"	"L"	"1"
14.4798979866477	"ML1"	"M"	"L"	"1"
15.1733982702573	"MN0"	"M"	"N"	"0"
14.7134940889934	"MN0"	"M"	"N"	"0"
13.7566396685309	"MN1"	"M"	"N"	"1"
13.4567532287085	"MN1"	"M"	"N"	"1"
14.1444240027717	"LL0"	"L"	"L"	"0"
14.9376963708702	"LL0"	"L"	"L"	"0"
14.6783597451801	"LL1"	"L"	"L"	"1"
14.4021958883124	"LL1"	"L"	"L"	"1"
14.6479681026747	"LN0"	"L"	"N"	"0"
15.6694838282659	"LN0"	"L"	"N"	"0"
15.319999650235	"LN1"	"L"	"N"	"1"
16.210838041522	"LN1"	"L"	"N"	"1"
