"FIB_slow1","FIB_slow2","FIB_slow3","FIB_slow4","FIB_fast1","FIB_fast2","FIB_fast3","FIB_fast4"
"ENSMUSG00000002459",17.4431070176357,11.7191527362058,9.58365439008174,5.83010066113563,7.88189163829044,11.6868593119005,4.93376589978748,9.11064020432537
"ENSMUSG00000005886",1712.34066252796,1460.0863684706,1018.70766523668,1103.8010475288,1352.65736024003,1500.59755100979,956.327162004052,1190.79136664577
"ENSMUSG00000025900",0,0,0,0,0,0,0,1
"ENSMUSG00000025902",0,0,0,0,0,0,0,0
"ENSMUSG00000025903",1883.29877086843,1580.04094241997,1147.14464625868,1206.34764535149,1346.83008082343,1766.70272610654,1062.53623160152,1002.64519718101
"ENSMUSG00000025905",1,1.20437144778239,10.0074336208204,3.17609696504774,2.00178266899706,1,4.00291611538344,2.12644135999623
"ENSMUSG00000025907",3617.31842063946,3685.95970994765,3341.11232699551,2842.39968252589,2993.05217059071,3727.74261859095,2135.96246615294,2084.08171792588
"ENSMUSG00000025911",23,17,6.00000000000001,8.00000000000001,24,13,17,12
"ENSMUSG00000025916",5,0,1,0,0,0,0,0
"ENSMUSG00000025917",2332.9696253452,2046.09895675832,2547.93378415575,2424.77053692966,2353.29393492574,2563.1301679998,2724.77213756314,2603.67442021077
"ENSMUSG00000025920",1151,1091,882,835,890.000000000001,987.999999999999,575,618
"ENSMUSG00000025921",794,580,593,709,1291,1438,821,913
"ENSMUSG00000048960",307.556350778782,294.718548458444,180.476129565376,191.472944094868,374.583857515909,512.272467828131,121.423502440514,113.89292770103
"ENSMUSG00000025925",710.566457667253,614.495906305297,655.222702697824,537.997569357682,540.595206861936,571.633914506489,480.557110087786,426.568905198038
"ENSMUSG00000025930",1.13361632489942,0,1.03116130950553,1,2,1.06405115719925,0,0
"ENSMUSG00000025932",2286.93417773935,2049.01548212951,2337.52508244779,1495.61194370601,1974.31033619014,2180.38488269965,1555.08833512159,1379.56136096178
"ENSMUSG00000025935",3931.3403294394,3640.63876560882,2667.27976424163,2407,3139.60986908863,3662.69669059774,2381,2431.43156733306
"ENSMUSG00000025937",844.615391796673,857.550330659873,522.28129677636,549.105850938653,768.625333186103,856.492296423564,525.94119750344,489.608881512183
"ENSMUSG00000048538",0,2.24636329222176,0,0,0,0,0,4.63514092880583
"ENSMUSG00000042501",244.313987032927,244.577524792519,184.352319247405,255.441307018572,323.788427960702,267.37934218132,230.579531571528,329.597440120627
"ENSMUSG00000101571",0,1.00443726862437,3.00817521595843,5.01246276612326,2.00730751074591,0,0,3.00497011388081
"ENSMUSG00000032719",7.9238875535261,24.8753914001661,12.1693739384198,13.5493844645508,6.2842132314181,3.7388894772249,0,3
"ENSMUSG00000032769",0,0,0,0,0,0,0,0
"ENSMUSG00000033740",1,2,7,1,0,6,2,3
"ENSMUSG00000033774",1.00926329455137,10.0788198984223,3.3004768815133,1.03464576712641,0,3.31719900879025,2.15597456668613,2.13012678763651
"ENSMUSG00000033793",2067.93725104871,1893.81345528524,1844.43452577556,1755.16256780645,1881.07766088942,2001.26720435619,1734.84971553596,1360.69977117564
"ENSMUSG00000033845",656.879415185945,608.762544328183,798.659557721434,781.098867426185,845.21334148618,884.934168837686,1054.58267725496,878.153873911441
"ENSMUSG00000042414",1,0,0,0,0,0,0,0
"ENSMUSG00000057715",14.8510119447247,8.34710901715309,4.2207793538609,7.10197738932641,4.7646382478231,14.417355878733,0,5.28408718899114
"ENSMUSG00000046101",31.6058095041087,46.1385386385882,13.5615134390908,30.185029330413,29.160865768334,47.8237675517201,3.24824079493916,18.3734613322565
"ENSMUSG00000045210",1731.66267480245,1612.66621746178,1240.99989198033,1173.76808310359,1487.57804387921,1829.14933229005,946.042875617524,981.005037478196
"ENSMUSG00000043716",16950.1178857228,15053.1367987854,20277.5923946097,20581.0248956147,24206.3327391321,23885.0036251441,32743.5107724898,27949.4248910594
"ENSMUSG00000069620",0,0,0,0,0,0,0,0
"ENSMUSG00000051285",2332,2207,1088,1282,1715,1989,781,1149
"ENSMUSG00000046334",0,0,0,1.08630547037378,0,0,0,0
"ENSMUSG00000025940",619.415935325908,518.816909308124,596.549197823741,634.830382638181,636.028661910842,709.471560111375,710.328143404169,621.501056093527
"ENSMUSG00000054493",0,1,3,1,0,0,0,0
"ENSMUSG00000051951",1,2,2,1,0,0,0,0
"ENSMUSG00000056763",1064.03960857454,1010.09413225844,933.128475084823,999.302273761151,878.255354564326,917.230457652863,558.246865955613,774.422784561988
"ENSMUSG00000061024",766,769.963831828866,1007.92883812927,819.963625848382,1062.94006231964,1186.94163733297,1309.99374732889,751
"ENSMUSG00000062588",0,4.08739503940463,8.48963434825266,0,3.1395787694181,3.22117090662306,18.4376915214647,9.91026685921229
