"doubling_time"	"conditions"	"TMRE"	"O2"	"VitC"
20.3611421361987	"HL0"	"H"	"L"	"0"
16.5263964522935	"HL0"	"H"	"L"	"0"
19.4452675092248	"HL1"	"H"	"L"	"1"
18.2974449713613	"HL1"	"H"	"L"	"1"
19.3373871750874	"HN0"	"H"	"N"	"0"
19.3776937795032	"HN0"	"H"	"N"	"0"
18.5448754463218	"HN1"	"H"	"N"	"1"
19.4807008073244	"HN1"	"H"	"N"	"1"
17.6605082483783	"ML0"	"M"	"L"	"0"
18.680113948456	"ML0"	"M"	"L"	"0"
18.631289942665	"ML1"	"M"	"L"	"1"
18.320072721983	"ML1"	"M"	"L"	"1"
19.1985192653285	"MN0"	"M"	"N"	"0"
17.6429601241078	"MN0"	"M"	"N"	"0"
18.3895198715076	"MN1"	"M"	"N"	"1"
18.6450460014159	"MN1"	"M"	"N"	"1"
18.4182664016512	"LL0"	"L"	"L"	"0"
18.4069851469224	"LL0"	"L"	"L"	"0"
18.3567017849199	"LL1"	"L"	"L"	"1"
15.0038607109357	"LL1"	"L"	"L"	"1"
17.7509477902932	"LN0"	"L"	"N"	"0"
18.3195826915354	"LN0"	"L"	"N"	"0"
17.1034005174305	"LN1"	"L"	"N"	"1"
17.6400593630351	"LN1"	"L"	"N"	"1"
