human_entrez	human_symbol	cor_fib_1	cor_fib_2	mean_cor_fib	cor_esc_1	cor_esc_2	mean_cor_esc	mean_cor_fib_esc
2773	GNAI3	1	1	1	1	1	1	1
8318	CDC45	-1	-1	-1	1	0.5	0.75	-0.125
10389	SCML2	-1	-1	-1	-1	-1	-1	-1
350	APOH	0.5	-1	-0.25	0	0	0	-0.125
26502	NARF	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
858	CAV2	-1	-0.5	-0.75	-0.5	0.5	0	-0.375
1316	KLF6	-1	-1	-1	-0.5	0.5	0	-0.5
22955	SCMH1	-1	-1	-1	-0.5	-0.5	-0.5	-0.75
9377	COX5A	-0.5	0.5	0	-0.5	0.5	0	0
6909	TBX2	-1	-1	-1	-1	-1	-1	-1
9496	TBX4	0.5	-0.5	0	-1	-1	-1	-0.5
390927	ZNF793	0	0	0	0	0	0	0
4804	NGFR	-1	0.866025403784439	-0.0669872981077806	-0.5	1	0.25	0.0915063509461097
7473	WNT3	0	0	0	1	0.5	0.75	0.375
7483	WNT9A	-0.5	-1	-0.75	-0.5	-0.5	-0.5	-0.625
2241	FER	1	0.5	0.75	0.5	1	0.75	0.75
23214	XPO6	1	1	1	0.5	-0.5	0	0.5
7030	TFE3	1	1	1	1	1	1	1
8313	AXIN2	-1	-1	-1	0.5	1	0.75	-0.125
221927	BRAT1	-0.5	0.5	0	-0.5	-1	-0.75	-0.375
2768	GNA12	-0.5	0.5	0	-0.5	1	0.25	0.125
5002	SLC22A18	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
3689	ITGB2	0	0	0	0	-0.5	-0.25	-0.125
120379	PIH1D2	-0.5	-1	-0.75	0.5	0.5	0.5	-0.125
1737	DLAT	-0.5	-1	-0.75	1	1	1	0.125
6392	SDHD	0.5	1	0.75	0.5	1	0.75	0.75
8074	FGF23	-1	-1	-1	-0.5	0.5	0	-0.5
2251	FGF6	-1	-0.5	-0.75	0	0	0	-0.375
894	CCND2	-0.5	-0.5	-0.5	-1	-1	-1	-0.75
57720	GPR107	-1	0.5	-0.25	-1	-1	-1	-0.625
259232	NALCN	0.5	0.5	0.5	-0.5	-0.5	-0.5	0
388419	BTBD17	0	0	0	1	-0.5	0.25	0.125
55106	SLFN12	0.5	-0.5	0	-1	0.5	-0.25	-0.125
7054	TH	0.866025403784439	0	0.433012701892219	-0.866025403784439	0	-0.433012701892219	0
3630	INS	0	0	0	0	0	0	0
